title,description,year,rating,director,writers,stars
Jai Bhim,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",2021,8.6,['T.J. Gnanavel'],"['T.J. Gnanavel', 'Rajendra Sapre']","['Suriya', 'Lijo Mol Jose', 'Manikandan K.']"
Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2004,8.1,['Terry George'],"['Keir Pearson', 'Terry George']","['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix']"
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",1986,8.1,['Oliver Stone'],[],"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']"
The Best Years of Our Lives,"Three World War II veterans, two of them traumatized or disabled, return home to the American Midwest to discover that they and their families have been irreparably changed.",1946,8.1,['William Wyler'],"['Robert E. Sherwood', 'MacKinlay Kantor']","['Myrna Loy', 'Dana Andrews', 'Fredric March']"
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004,8.1,['Richard Linklater'],"['Richard Linklater', 'Julie Delpy', 'Ethan Hawke']","['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']"
The Sound of Music,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,1965,8.1,['Robert Wise'],"['Georg Hurdalek', 'Howard Lindsay', 'Russel Crouse']","['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker']"
The Exorcist,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",1973,8.1,['William Friedkin'],[],"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']"
The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",2004,8.0,['Brad Bird'],[],"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter']"
The Wizard of Oz,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",1939,8.1,[],"['Noel Langley', 'Florence Ryerson', 'Edgar Allan Woolf']","['Judy Garland', 'Frank Morgan', 'Ray Bolger']"
Hachi: A Dog's Tale,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds.",2009,8.1,['Lasse Hallström'],"['Stephen P. Lindsey', 'Kaneto Shindô']","['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']"
Rush,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",2013,8.1,['Ron Howard'],[],"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde']"
The Passion of Joan of Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions.",1928,8.1,['Carl Theodor Dreyer'],"['Joseph Delteil', 'Carl Theodor Dreyer']","['Maria Falconetti', 'Eugene Silvain', 'André Berley']"
Stand by Me,A writer recounts a childhood journey with his friends to find the body of a missing boy.,1986,8.1,['Rob Reiner'],"['Stephen King', 'Raynold Gideon', 'Bruce A. Evans']","['Wil Wheaton', 'River Phoenix', 'Corey Feldman']"
My Father and My Son,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,2005,8.2,['Çagan Irmak'],[],"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra']"
A Silent Voice: The Movie,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends.",2016,8.1,['Naoko Yamada'],"['Yoshitoki Ôima', 'Reiko Yoshida']","['Miyu Irino', 'Saori Hayami', 'Aoi Yûki']"
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,1999,8.1,['Brad Bird'],"['Tim McCanlies', 'Brad Bird', 'Ted Hughes']","['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston']"
Network,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",1976,8.1,['Sidney Lumet'],[],"['Faye Dunaway', 'William Holden', 'Peter Finch']"
