title,description,year,rating,director,writers,stars
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,8.2,['Martin Scorsese'],"['Terence Winter', 'Jordan Belfort']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']"
Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020,8.3,['Thomas Kail'],"['Lin-Manuel Miranda', 'Ron Chernow']","['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']"
Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,2018,8.2,['Peter Farrelly'],"['Nick Vallelonga', 'Brian Hayes Currie', 'Peter Farrelly']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']"
Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1976,8.2,['Martin Scorsese'],[],"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']"
Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",2005,8.2,['Christopher Nolan'],"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']","['Christian Bale', 'Michael Caine', 'Ken Watanabe']"
The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,1998,8.2,['Peter Weir'],[],"['Jim Carrey', 'Ed Harris', 'Laura Linney']"
For a Few Dollars More,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,1965,8.2,['Sergio Leone'],"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']","['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']"
Judgment at Nuremberg,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",1961,8.3,['Stanley Kramer'],"['Abby Mann', 'Montgomery Clift']","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']"
Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",1959,8.2,['Billy Wilder'],"['Billy Wilder', 'I.A.L. Diamond', 'Robert Thoeren']","['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']"
Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,2010,8.2,['Martin Scorsese'],"['Laeta Kalogridis', 'Dennis Lehane']","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']"
The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",1921,8.2,['Charles Chaplin'],[],"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']"
The Father,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020,8.2,['Florian Zeller'],"['Christopher Hampton', 'Florian Zeller']","['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']"
Jurassic Park,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",1993,8.2,['Steven Spielberg'],"['Michael Crichton', 'David Koepp']","['Sam Neill', 'Laura Dern', 'Jeff Goldblum']"
All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,1950,8.2,['Joseph L. Mankiewicz'],"['Joseph L. Mankiewicz', 'Mary Orr']","['Bette Davis', 'Anne Baxter', 'George Sanders']"
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2007,8.2,['Paul Thomas Anderson'],"['Paul Thomas Anderson', 'Upton Sinclair']","['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds']"
The Sixth Sense,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",1999,8.2,['M. Night Shyamalan'],[],"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']"
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",1985,8.2,['Akira Kurosawa'],"['Akira Kurosawa', 'Hideo Oguni', 'Masato Ide']","['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']"
Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",1995,8.2,['Martin Scorsese'],"['Nicholas Pileggi', 'Martin Scorsese']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']"
Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",2022,8.2,['Joseph Kosinski'],"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']"
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,2007,8.2,[],"['Joel Coen', 'Ethan Coen', 'Cormac McCarthy']","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']"
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982,8.2,['John Carpenter'],"['Bill Lancaster', 'John W. Campbell Jr.']","['Kurt Russell', 'Wilford Brimley', 'Keith David']"
Unforgiven,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",1992,8.2,['Clint Eastwood'],[],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']"
Pan's Labyrinth,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",2006,8.2,['Guillermo del Toro'],[],"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']"
Kill Bill: Vol. 1,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,8.2,['Quentin Tarantino'],"['Quentin Tarantino', 'Uma Thurman']","['Uma Thurman', 'David Carradine', 'Daryl Hannah']"
A Beautiful Mind,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",2001,8.2,['Ron Howard'],"['Akiva Goldsman', 'Sylvia Nasar']","['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']"
Prisoners,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,2013,8.2,['Denis Villeneuve'],[],"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']"
The Treasure of the Sierra Madre,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,1948,8.2,['John Huston'],"['John Huston', 'B. Traven']","['Humphrey Bogart', 'Walter Huston', 'Tim Holt']"
Yojimbo,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1961,8.2,['Akira Kurosawa'],"['Akira Kurosawa', 'Ryûzô Kikushima']","['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai']"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003,8.2,[],"['Andrew Stanton', 'Bob Peterson', 'David Reynolds']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']"
Howl's Moving Castle,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,8.2,['Hayao Miyazaki'],"['Hayao Miyazaki', 'Diana Wynne Jones']","['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin']"
The Great Escape,"Allied officers in a German prisoner of war camp during World War II making a daring plan for a mass escape by hundreds of their men, hoping to draw German personnel and resources away from combat operations.",1963,8.2,['John Sturges'],"['Paul Brickhill', 'James Clavell', 'W.R. Burnett']","['Steve McQueen', 'James Garner', 'Richard Attenborough']"
Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975,8.2,[],"['Graham Chapman', 'John Cleese', 'Eric Idle']","['Graham Chapman', 'John Cleese', 'Eric Idle']"
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980,8.2,['David Lynch'],"['Christopher De Vore', 'Eric Bergren', 'David Lynch']","['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']"
Dial M for Murder,"A London playboy plots the perfect murder of his rich, unfaithful Wife.",1954,8.2,['Alfred Hitchcock'],[],"['Ray Milland', 'Grace Kelly', 'Robert Cummings']"
Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",2019,8.2,[],"['Sergio Pablos', 'Jim Mahoney', 'Zach Lewis']","['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones']"
Gone with the Wind,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,1939,8.2,['Victor Fleming'],"['Margaret Mitchell', 'Sidney Howard', 'Oliver H.P. Garrett']","['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']"
Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",1974,8.1,['Roman Polanski'],"['Robert Towne', 'Roman Polanski']","['Jack Nicholson', 'Faye Dunaway', 'John Huston']"
The Secret in Their Eyes,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later.",2009,8.2,['Juan José Campanella'],"['Eduardo Sacheri', 'Juan José Campanella']","['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago']"
"Lock, Stock and Two Smoking Barrels","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",1998,8.1,['Guy Ritchie'],[],"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran']"
Rashomon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",1950,8.2,['Akira Kurosawa'],"['Ryûnosuke Akutagawa', 'Akira Kurosawa', 'Shinobu Hashimoto']","['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']"
V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",2005,8.1,['James McTeigue'],"['Lilly Wachowski', 'Lana Wachowski', 'David Lloyd']","['Hugo Weaving', 'Natalie Portman', 'Rupert Graves']"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",2015,8.1,[],"['Pete Docter', 'Ronnie Del Carmen', 'Meg LeFauve']","['Amy Poehler', 'Bill Hader', 'Lewis Black']"
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,2017,8.1,['Martin McDonagh'],[],"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']"
Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2002,8.1,['Steven Spielberg'],"['Frank Abagnale Jr.', 'Stan Redding', 'Jeff Nathanson']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']"
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",1996,8.1,['Danny Boyle'],"['Irvine Welsh', 'John Hodge']","['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']"
The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",1957,8.1,['David Lean'],"['Pierre Boulle', 'Carl Foreman', 'Michael Wilson']","['William Holden', 'Alec Guinness', 'Jack Hawkins']"
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980,8.1,['Martin Scorsese'],"['Jake LaMotta', 'Joseph Carter', 'Peter Savage']","['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']"
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024,8.2,['Chris Sanders'],"['Chris Sanders', 'Peter Brown']","[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor']"
Fargo,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1996,8.1,[],"['Ethan Coen', 'Joel Coen']","['William H. Macy', 'Frances McDormand', 'Steve Buscemi']"
Harry Potter and the Deathly Hallows: Part 2,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",2011,8.1,['David Yates'],"['Steve Kloves', 'J.K. Rowling']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']"
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",2011,8.1,"[""Gavin O'Connor""]","[""Gavin O'Connor"", 'Anthony Tambakis', 'Cliff Dorfman']","['Tom Hardy', 'Nick Nolte', 'Joel Edgerton']"
Gran Torino,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",2008,8.1,['Clint Eastwood'],"['Nick Schenk', 'Dave Johannson']","['Clint Eastwood', 'Bee Vang', 'Christopher Carley']"
Million Dollar Baby,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",2004,8.1,['Clint Eastwood'],"['Paul Haggis', 'F.X. Toole']","['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']"
Ben-Hur,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",1959,8.1,['William Wyler'],"['Lew Wallace', 'Karl Tunberg', 'Gore Vidal']","['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']"
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",2015,8.1,['George Miller'],"['George Miller', 'Brendan McCarthy', 'Nick Lathouris']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']"
My Neighbor Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1988,8.1,['Hayao Miyazaki'],[],"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto']"
Dead Poets Society,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",1989,8.1,['Peter Weir'],[],"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']"
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,1975,8.1,['Stanley Kubrick'],"['Stanley Kubrick', 'William Makepeace Thackeray']","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']"
